all_avg_price	first_seven_avg_price	last_three_avg_price
340.87	323.07	378.09
212.61	146.22	279.0
218.39	141.19	321.33
781.79	819.14	744.43
229.57	318.0	111.67
191.67	199.5	176.0
1490.36	1526.98	1364.2
299.3	350.4	128.97
157.84	161.68	150.16
176.23	179.3	166.0
125.93	101.25	175.3
409.77	401.98	426.59
121.38	93.1	144.0
137.97	40.93	235.0
222.05	186.83	374.67
214.48	220.59	204.1
215.74	220.94	211.36
903.59	1043.14	252.33
2193.38	1792.52	3058.37
172.33	191.94	119.09
255.0	336.0	120.0
155.76	146.33	190.33
35.47	36.14	33.85
184.94	255.13	119.13
76.37	44.45	118.93
220.0	206.5	247.0
150.81	162.99	98.0
148.84	158.54	136.36
1411.62	447.67	1990.0
116.86	65.16	168.57
310.77	141.65	431.57
166.66	246.5	102.78
837.84	576.98	1583.18
377.45	220.59	521.24
193.2	296.6	20.87
139.99	136.84	153.67
652.44	708.82	532.62
1180.44	1592.33	974.5
176.1	164.19	220.75
333.46	330.12	338.8
1593.71	625.67	2319.75
1248.78	417.25	1914.0
267.15	298.83	211.11
176.71	280.33	99.0
923.82	1219.0	136.67
930.88	1003.71	874.22
1359.05	1165.84	1552.25
125.36	140.24	80.72
86.33	77.43	115.39
83.99	80.33	90.39
360.12	327.56	381.83
128.9	136.86	113.0
105.97	112.46	70.27
409.19	366.6	539.8
178.79	185.37	108.06
89.3	65.97	112.63
77.57	100.25	47.33
281.28	243.8	328.12
109.09	109.27	108.4
486.4	434.17	554.3
513.81	466.0	575.29
123.45	151.75	95.15
31.4	35.05	24.1
124.68	104.55	195.13
67.83	62.6	111.78
345.09	384.71	275.75
487.63	527.27	226.0
112.45	111.67	114.22
158.89	156.13	165.33
199.11	193.43	202.73
300.25	262.83	337.67
270.78	311.06	119.75
172.44	172.3	172.53
3929.42	6063.37	195.0
881.2	457.5	1163.67
123.44	126.98	119.08
91.46	102.0	83.94
6222.33	5964.14	7126.0
289.5	257.0	365.33
84.43	89.91	81.94
301.8	339.5	247.94
561.98	1369.33	319.78
268.21	285.13	247.29
660.78	764.0	454.33
90.98	88.59	106.92
484.38	464.0	518.33
109.09	179.17	49.02
202.77	208.82	183.1
11675.08	15600.44	2843.0
13.59	4.09	19.93
136.75	156.75	116.75
142.9	148.65	129.47
103.97	113.45	83.12
183.12	232.32	51.91
251.96	269.15	178.94
514.85	636.45	77.76
572.1	641.9	381.71
138.37	195.65	52.45
107.69	110.6	98.0
1382.62	647.0	2608.67
37.74	42.39	15.29
387.0	627.4	146.6
139.14	137.82	143.6
180.23	237.17	131.43
266.56	277.41	243.67
300.86	311.27	274.83
194.8	190.43	205.0
48.45	40.79	63.98
173.62	125.0	254.67
80.24	83.45	71.67
504.67	635.24	295.76
145.43	134.78	158.75
122.57	132.86	117.02
92.97	95.12	84.37
42.86	46.5	38.0
371.95	416.12	92.24
74.42	68.44	98.33
143.6	112.0	191.0
59.65	62.2	44.4
83.43	95.48	73.1
232.39	240.8	162.33
272.3	179.74	420.4
181.57	145.67	208.5
158.1	156.68	159.99
230.58	235.0	224.18
271.02	289.98	132.0
462.14	642.97	145.68
287.64	303.73	228.67
254.13	300.21	173.5
100.98	126.48	49.97
117.31	100.85	142.0
152.33	181.67	123.0
672.52	912.12	163.38
137.49	130.01	173.4
152.32	71.38	314.2
558.22	661.95	385.33
63.16	69.81	34.33
260.76	308.47	203.52
262.38	244.5	291.0
78.46	94.76	62.16
212.11	179.81	300.18
217.83	192.43	294.0
76.5	40.34	121.7
479.86	146.61	860.71
408.72	357.84	529.56
188.08	127.83	239.71
201.2	117.69	269.53
413.57	474.67	367.75
90.62	102.09	79.16
145.8	131.67	156.4
100.11	96.69	104.67
233.11	204.73	264.07
92.24	114.45	18.2
124.88	103.82	167.0
741.83	963.86	431.0
68.08	65.63	69.3
182.95	178.96	215.53
174.91	153.0	201.2
628.57	411.25	918.33
8602.33	9072.67	8132.0
396.5	238.67	464.14
502.29	416.92	779.75
297.9	299.21	295.29
505.34	522.92	477.7
181.71	184.17	175.8
244.43	105.67	348.5
386.0	390.0	380.67
307.22	466.0	227.83
4068.11	3617.0	4632.0
155.84	216.25	75.3
194.77	193.98	198.25
133.45	106.75	224.2
396.5	462.0	181.29
52.22	53.0	50.98
136.25	143.0	125.0
250.44	253.0	245.33
247.89	145.22	299.23
209.31	200.36	238.69
2433.53	2624.59	2051.43
326.93	449.71	204.14
170.68	178.12	158.76
248.24	245.33	253.33
437.08	200.43	713.17
140.32	133.72	151.33
230.97	198.91	298.76
153.26	201.56	68.75
110.36	121.1	84.29
241.7	242.98	215.17
180.97	193.78	121.17
167.24	175.92	129.6
397.6	68.67	644.3
41.9	58.62	28.52
208.91	193.27	227.41
206.67	289.0	124.33
42.01	31.99	62.05
290.18	276.71	320.5
154.87	171.86	110.27
65.53	67.49	58.99
1183.12	1356.7	141.65
151.91	150.6	152.72
1386.85	2596.79	96.24
54.54	46.7	62.39
1321.92	1587.31	233.8
165.27	128.55	275.45
187.52	207.52	112.5
236.9	259.0	185.33
199.55	230.9	58.47
313.25	379.75	280.0
147.16	135.07	171.33
207.41	166.6	272.7
224.33	230.36	152.0
834.9	199.07	1391.25
264.22	201.41	337.5
160.05	155.67	165.89
147.46	120.06	167.71
1080.82	617.98	2006.5
350.81	408.36	197.33
60.84	32.58	107.93
303.54	302.2	304.38
249.29	275.25	214.67
39.02	43.08	30.92
123.31	130.64	94.0
63.97	71.16	52.0
1824.46	2559.78	170.0
33.81	25.23	50.97
215.88	207.21	228.0
135.3	162.31	54.27
330.78	270.81	476.43
113.32	91.89	241.9
122.37	120.07	126.96
163.92	139.5	245.33
102.71	76.75	137.33
421.46	519.51	284.2
75.8	61.7	82.85
410.04	393.32	473.6
103.11	106.78	85.68
170.71	178.02	107.33
100418.85	149647.94	11806.47
125.58	121.67	129.5
168.49	152.94	220.33
73.86	48.18	99.54
288.71	218.25	382.66
225.27	255.1	191.7
273.6	253.0	304.5
293.34	307.24	237.75
96.67	88.54	112.32
4940.33	3796.46	6942.11
20.47	24.57	8.15
206.06	140.22	304.81
248.67	288.33	209.0
285.12	161.82	356.51
439.8	141.79	924.08
70.37	75.07	56.27
194.86	284.33	127.75
234.28	235.09	228.33
148.16	168.29	112.95
278.79	264.85	296.71
239.46	228.71	318.33
334.92	429.99	232.54
195.58	194.41	198.43
395.29	411.11	366.8
327.96	305.19	355.9
82.95	50.56	136.92
130.38	133.88	124.51
299.63	368.0	265.45
89.23	68.57	158.08
191.15	125.43	285.04
145.25	151.88	129.36
274.94	328.86	247.99
263.91	274.14	216.17
27.08	33.11	10.99
82.4	107.95	56.85
211.11	78.0	377.5
176.64	197.62	120.67
182.25	214.4	128.67
311.67	364.83	253.68
254.58	250.05	279.5
109.38	121.83	72.0
242.86	319.0	185.75
78.89	56.5	141.6
149.57	177.05	80.88
121.47	116.34	142.0
356.94	412.92	211.4
230.28	196.45	248.09
213.29	229.01	99.25
910.01	475.77	1507.08
348.47	307.12	460.35
132.07	142.11	86.9
380.21	379.27	383.75
119.72	130.13	112.78
115.21	58.99	160.18
544.73	106.56	1275.0
49.19	54.19	37.94
252.18	264.5	245.14
447.1	291.5	680.5
51.75	52.41	49.97
432.32	558.2	274.98
608.56	1022.6	91.0
30.0	25.34	32.91
242.45	148.72	398.67
447643.91	615418.12	246.0
257.18	294.82	198.04
127.6	165.04	20.61
188.29	202.67	177.5
789.47	933.82	392.5
3220.15	3239.08	3064.0
142.89	146.14	139.1
82.92	69.75	115.85
252.25	301.41	166.22
237.74	218.43	279.13
73.12	86.26	29.3
2154.76	1697.97	3068.33
87.43	105.25	63.67
129.46	122.8	151.67
207.86	269.93	114.75
214.06	247.86	56.33
50.22	46.76	56.0
815.64	1157.0	218.25
1807.06	2007.08	1407.0
259.56	232.5	281.2
127.1	121.17	136.0
218.47	272.52	114.53
242.64	280.75	191.83
83.83	50.15	151.2
185.31	207.5	158.68
315.02	268.02	390.2
241.29	279.25	190.67
154.07	180.29	123.48
172.82	314.0	102.23
362.89	476.8	220.5
93.43	69.0	125.99
1496.94	232.95	2760.93
210.19	129.88	290.5
1002.21	1106.06	794.5
228.61	124.33	447.6
124.91	114.62	145.5
683.5	812.4	468.67
352.71	488.25	172.0
87.56	75.5	111.67
387.33	462.82	221.85
352.22	304.0	390.8
2030.67	736.46	4834.8
453.69	546.2	145.33
3155.4	4802.75	96.04
177.14	143.5	222.0
124.09	79.97	271.16
94.0	96.2	91.8
176.64	165.36	192.16
338.33	326.23	358.0
135.25	130.12	156.8
178.78	218.83	98.67
265.87	325.88	197.29
418.65	408.67	428.63
154.7	109.33	313.5
247.96	262.43	230.6
227.17	244.21	179.48
309.89	337.0	255.67
198.85	187.18	265.0
151.69	174.74	77.94
65.85	56.58	244.97
577.31	643.25	137.67
149.59	182.0	127.99
419.52	381.9	457.15
652.18	570.67	750.0
230.06	204.59	293.75
171.16	122.0	220.33
235.46	317.44	87.9
98.15	96.19	99.89
65.07	60.47	74.27
284.18	160.17	433.0
267.67	306.44	151.33
620.74	490.16	798.34
228.98	168.83	301.16
127.45	127.79	124.0
77.4	132.33	36.2
2400.9	1553.9	4349.0
168.73	176.38	148.33
640.57	612.0	662.0
685.05	1094.4	173.37
385.61	507.25	331.55
111.83	131.33	92.33
209.89	166.95	281.44
128.26	153.75	94.27
212.85	145.33	263.5
234.54	329.8	175.0
277.99	424.05	106.15
347.49	418.36	258.91
487.83	135.0	840.67
482.82	654.43	182.5
181.73	288.67	101.52
319.5	412.2	165.0
65.36	85.78	31.33
71.41	63.76	96.54
523.98	543.12	485.69
403.07	438.47	261.5
238.0	247.75	212.0
486.87	445.99	616.33
188.72	137.46	308.33
202.62	239.2	141.67
141.37	121.92	190.0
74.82	71.22	81.56
154.64	188.0	137.96
124.68	141.13	95.9
340.62	373.08	243.22
318.73	368.0	269.45
206.06	188.87	241.4
132.69	144.12	96.12
33.17	42.23	13.53
183.59	219.08	112.62
105.56	133.75	67.97
421.0	439.08	348.67
254.88	227.33	271.4
404.62	498.92	251.38
123.51	121.93	125.31
343.11	330.67	368.0
218.64	290.4	128.95
249.31	192.0	375.4
131.94	124.33	157.8
271.19	165.78	376.6
323.09	100.0	450.57
97.55	92.83	128.97
164.5	209.89	82.81
467.63	513.75	273.9
221.19	219.68	224.86
218.9	217.86	221.33
92.46	93.46	89.46
244.08	286.5	159.25
4297.59	4453.51	3892.2
1114.78	440.32	4318.5
299.44	362.0	174.33
439.14	446.81	418.67
166.89	166.33	167.9
315.17	263.29	387.8
50.56	54.98	44.67
438.53	227.5	1282.67
167.17	173.93	136.23
163.04	168.44	118.0
219.77	99.15	461.0
773.52	801.28	686.75
440.48	255.58	895.62
269.02	325.05	222.33
147.19	161.56	75.33
215.67	213.83	219.33
245.04	242.81	248.0
128.13	71.09	204.18
3268.32	1281.36	6000.38
160.44	166.97	149.0
265.81	222.53	395.67
226.93	198.5	259.43
279.3	500.2	46.77
148.84	120.63	170.0
85.88	103.4	56.67
129.11	134.67	124.1
353.85	423.43	191.5
160.13	135.0	188.86
42.11	46.18	10.2
21.66	12.39	30.93
692.64	413.67	1027.4
42.21	35.22	56.19
340.11	283.42	413.0
186.26	193.88	181.36
15199.67	22703.5	192.0
232.8	212.17	263.75
225.31	201.22	262.55
214.46	202.54	245.75
280.75	278.57	283.8
803.6	1125.61	52.23
283.07	372.5	166.8
127.21	111.5	158.63
357.69	373.2	306.0
104.58	150.28	66.5
615.21	753.59	379.98
241.0	197.33	284.67
92.12	90.69	96.21
443.33	451.96	393.75
99.96	106.64	71.59
2366.86	3014.71	1071.14
243.01	252.71	146.0
149.93	171.05	70.75
197.21	150.86	317.72
771.6	1084.61	279.71
311.62	361.59	141.71
721.64	800.62	511.0
57.29	67.28	33.45
227.23	251.56	172.5
293.21	407.81	25.82
13.28	12.11	19.53
316.68	102.96	380.79
104.4	104.5	104.33
437.98	228.9	751.6
262.12	289.51	92.28
615.33	791.33	439.33
112.89	108.33	140.25
118.86	136.25	95.67
214.07	275.25	132.5
146.14	59.63	319.16
188.95	233.33	144.57
249.0	167.4	385.0
131.59	102.25	152.55
95.18	87.28	109.0
170.52	199.67	104.95
842.92	524.0	1353.2
208.45	222.94	143.25
298.29	262.75	345.67
168.69	282.0	103.94
374.38	458.56	185.0
123.24	132.75	104.22
132.29	144.15	98.67
317.98	691.93	93.6
961.59	1396.88	91.0
465.63	223.84	888.75
555.37	655.07	306.12
40.13	30.92	51.65
64.51	70.98	50.6
86.68	82.59	94.35
354.43	406.35	153.24
110.17	143.33	77.0
84.2	61.47	129.67
237.87	159.99	284.6
186.86	200.22	173.5
87.67	52.2	135.55
94.72	89.25	119.02
537.38	420.8	731.67
229.41	226.75	234.72
295.27	214.29	333.07
166.52	168.07	163.43
231.59	219.29	241.17
307.75	386.36	45.71
299.77	287.33	327.75
320.12	142.0	498.25
164.62	185.64	118.4
535.25	697.0	265.67
269.06	270.14	265.25
79.71	92.74	58.0
336.45	368.54	196.07
269.67	278.08	247.8
143.83	169.63	105.12
1624.24	2184.33	280.0
214.0	290.5	112.0
200.57	150.97	243.98
125.69	132.43	83.0
180.27	162.66	237.51
118.17	101.81	161.8
207.12	256.51	120.69
402.67	416.4	385.5
511.22	558.99	357.27
1762.32	2244.21	477.27
214.54	166.09	335.65
356.35	382.66	236.07
147.93	163.99	119.39
257.82	323.64	137.17
455.0	216.57	788.8
142.57	76.0	192.5
237.91	267.65	188.33
168.8	157.35	181.38
182.87	198.35	125.04
142.53	83.91	174.5
180.83	153.67	208.0
197.52	207.89	161.25
301.58	236.0	367.17
91.71	98.1	62.97
289.94	348.92	172.0
277.79	305.94	247.88
372.55	230.67	478.97
621.96	646.4	577.14
179.68	282.0	77.36
276.75	378.67	215.6
65.51	68.94	41.46
620.4	702.0	457.2
121.99	97.61	187.0
166.5	155.83	182.5
685.67	646.0	804.67
401.92	331.47	507.6
606.16	647.55	344.0
130.03	113.45	144.39
350.19	366.19	299.0
162.91	213.33	102.4
308.56	321.67	282.33
128.59	128.48	128.75
128.26	165.28	32.01
141.1	154.9	90.5
289.73	314.86	245.75
237.48	255.61	164.96
116.83	151.67	82.0
84.97	94.69	49.33
794.71	1126.25	352.67
484.71	727.0	161.67
1150.65	1128.46	1191.86
390.54	372.74	458.2
75.54	92.83	40.96
1976.07	2266.91	1176.25
261.57	226.75	308.0
107.38	58.18	189.37
210.22	239.5	151.67
282.56	286.87	242.33
290.14	188.67	366.25
220.21	223.0	216.5
249.86	133.0	337.5
203.12	231.55	117.8
274.4	292.5	202.0
71.17	56.33	86.0
76.06	59.69	95.7
48.64	35.12	66.67
203.03	180.2	262.4
1137.59	936.54	1472.67
262.46	307.92	189.02
140.05	117.75	169.78
485.25	417.2	598.67
196.87	186.6	214.0
356.81	278.25	592.5
116.49	103.86	140.33
1279.0	792.5	4198.0
631.91	622.9	695.0
223.87	231.79	210.35
701.2	913.9	275.8
192.31	192.58	191.97
305.91	282.29	347.25
229.97	261.11	175.47
112.25	106.71	124.13
395.68	385.75	448.67
341.07	434.8	228.6
246.94	240.4	249.67
300.21	237.06	426.5
177.97	214.79	42.97
292.42	282.67	302.17
83.5	99.38	46.45
257.57	268.62	233.65
108.84	116.97	78.35
104.42	97.66	149.0
102.49	106.85	52.3
208.02	244.33	139.94
313.82	336.58	259.2
309.87	376.1	177.4
144.62	173.31	51.38
184.2	158.75	204.56
221.44	222.07	218.33
81.7	88.31	63.2
1913.8	2307.01	439.25
263.57	296.68	167.55
62.89	58.66	76.06
159.8	167.76	124.0
33.48	28.81	42.8
250.42	214.39	364.5
631.79	646.46	461.6
613.65	671.77	424.75
222.82	214.75	241.67
196.65	205.2	168.17
68.59	56.95	88.0
90.55	176.5	4.59
335.0	544.0	126.0
167.27	123.21	238.88
269.02	319.32	143.25
317.94	264.99	441.5
271.77	334.86	198.17
256.62	240.18	292.8
588.08	1001.4	292.86
391.3	494.75	322.33
95.11	102.75	64.58
193.58	127.69	347.33
310.7	306.2	324.2
158.32	207.4	123.26
330.91	384.38	188.33
247.59	273.0	196.76
248.42	264.9	198.95
173.06	165.38	185.0
463.25	551.3	316.5
290.91	389.45	126.67
