all_avg_price	period_avg_price
203.78	169.88
228.93	244.73
93.76	125.78
225.87	111.67
226.17	235.67
315.86	408.25
185.41	219.12
131.87	145.80
331.33	100.19
134.51	140.78
101.10	97.97
702.08	706.66
302.05	129.79
147.71	150.65
209.85	138.96
196.93	208.25
83.24	90.11
148.11	163.29
495.43	403.87
214.52	93.33
67.03	36.87
356.96	310.76
124.76	151.66
550.30	971.04
266.99	242.65
36.23	66.97
186.88	255.00
274.43	267.10
301.83	198.87
120.14	49.00
232.26	219.83
321.75	355.46
289.23	337.30
188.92	208.96
53.36	48.68
64.40	45.88
207.51	176.41
289.09	422.50
167.60	132.00
364.75	344.38
152.76	153.81
112.96	119.74
208.58	205.76
183.67	204.00
330.36	268.50
61.65	56.04
139.09	166.56
160.20	154.80
480.93	567.78
44.14	42.17
194.81	273.93
770.00	1472.17
138.92	138.36
370.88	208.60
168.08	171.17
1330.77	1817.86
277.38	289.80
415.63	492.80
149.40	145.32
268.02	473.12
172.40	105.50
1763.38	2026.54
673.39	701.74
126.81	127.22
180.88	193.19
67.41	65.00
257.78	345.00
59.88	67.38
1239.92	611.80
190.56	180.00
332.31	250.95
227.05	165.45
216.63	278.13
244.31	193.00
165.12	187.20
397.66	415.66
345.15	373.78
79.96	58.22
1355.52	1525.00
209.53	69.45
199.68	239.47
902.40	972.91
58.46	31.81
109.12	108.00
112.63	114.37
218.44	237.39
157.18	213.62
829.25	975.14
236.18	245.25
130.95	134.65
189.72	114.20
122.15	123.06
203.67	196.60
2093.87	3056.50
211.50	119.10
396.53	399.60
164.26	25.00
340.87	323.07
212.61	146.22
218.39	141.19
781.79	819.14
229.57	318.00
191.67	199.50
1490.36	1526.98
299.30	350.40
157.84	161.68
176.23	179.30
125.93	101.25
409.77	401.98
121.38	93.10
137.97	40.93
222.05	186.83
214.48	220.59
215.74	220.94
903.59	1043.14
2193.38	1792.52
172.33	191.94
255.00	336.00
155.76	146.33
35.47	36.14
184.94	255.13
76.37	44.45
220.00	206.50
150.81	162.99
148.84	158.54
1411.62	447.67
116.86	65.16
310.77	141.65
166.66	246.50
837.84	576.98
377.45	220.59
193.20	296.60
139.99	136.84
652.44	708.82
1180.44	1592.33
176.10	164.19
333.46	330.12
1593.71	625.67
1248.78	417.25
267.15	298.83
176.71	280.33
923.82	1219.00
930.88	1003.71
1359.05	1165.84
125.36	140.24
86.33	77.43
83.99	80.33
360.12	327.56
128.90	136.86
105.97	112.46
409.19	366.60
178.79	185.37
89.30	65.97
77.57	100.25
281.28	243.80
109.09	109.27
486.40	434.17
513.81	466.00
123.45	151.75
31.40	35.05
124.68	104.55
67.83	62.60
345.09	384.71
487.63	527.27
112.45	111.67
158.89	156.13
199.11	193.43
300.25	262.83
270.78	311.06
172.44	172.30
3929.42	6063.37
881.20	457.50
123.44	126.98
91.46	102.00
6222.33	5964.14
289.50	257.00
84.43	89.91
301.80	339.50
561.98	1369.33
268.21	285.13
660.78	764.00
90.98	88.59
484.38	464.00
109.09	179.17
202.77	208.82
11675.08	15600.44
13.59	4.09
136.75	156.75
142.90	148.65
103.97	113.45
183.12	232.32
251.96	269.15
514.85	636.45
572.10	641.90
138.37	195.65
107.69	110.60
1382.62	647.00
37.74	42.39
387.00	627.40
139.14	137.82
180.23	237.17
266.56	277.41
300.86	311.27
194.80	190.43
48.45	40.79
173.62	125.00
80.24	83.45
504.67	635.24
145.43	134.78
122.57	132.86
92.97	95.12
42.86	46.50
371.95	416.12
74.42	68.44
143.60	112.00
59.65	62.20
83.43	95.48
232.39	240.80
272.30	179.74
181.57	145.67
158.10	156.68
230.58	235.00
271.02	289.98
462.14	642.97
287.64	303.73
254.13	300.21
100.98	126.48
117.31	100.85
152.33	181.67
672.52	912.12
137.49	130.01
152.32	71.38
558.22	661.95
63.16	69.81
260.76	308.47
262.38	244.50
78.46	94.76
212.11	179.81
217.83	192.43
76.50	40.34
479.86	146.61
408.72	357.84
188.08	127.83
201.20	117.69
413.57	474.67
90.62	102.09
145.80	131.67
100.11	96.69
233.11	204.73
92.24	114.45
124.88	103.82
741.83	963.86
68.08	65.63
182.95	178.96
174.91	153.00
628.57	411.25
8602.33	9072.67
396.50	238.67
502.29	416.92
297.90	299.21
505.34	522.92
181.71	184.17
244.43	105.67
386.00	390.00
307.22	466.00
4068.11	3617.00
155.84	216.25
194.77	193.98
133.45	106.75
396.50	462.00
52.22	53.00
136.25	143.00
250.44	253.00
247.89	145.22
209.31	200.36
2433.53	2624.59
326.93	449.71
170.68	178.12
248.24	245.33
437.08	200.43
140.32	133.72
230.97	198.91
153.26	201.56
110.36	121.10
241.70	242.98
180.97	193.78
167.24	175.92
397.60	68.67
41.90	58.62
208.91	193.27
206.67	289.00
42.01	31.99
290.18	276.71
154.87	171.86
65.53	67.49
1183.12	1356.70
151.91	150.60
1386.85	2596.79
54.54	46.70
1321.92	1587.31
165.27	128.55
187.52	207.52
236.90	259.00
199.55	230.90
313.25	379.75
147.16	135.07
207.41	166.60
224.33	230.36
834.90	199.07
264.22	201.41
160.05	155.67
147.46	120.06
1080.82	617.98
350.81	408.36
60.84	32.58
303.54	302.20
249.29	275.25
39.02	43.08
123.31	130.64
63.97	71.16
1824.46	2559.78
33.81	25.23
215.88	207.21
135.30	162.31
330.78	270.81
113.32	91.89
122.37	120.07
163.92	139.50
102.71	76.75
421.46	519.51
75.80	61.70
410.04	393.32
103.11	106.78
170.71	178.02
100418.85	149647.94
125.58	121.67
168.49	152.94
73.86	48.18
288.71	218.25
225.27	255.10
273.60	253.00
293.34	307.24
96.67	88.54
4940.33	3796.46
20.47	24.57
206.06	140.22
248.67	288.33
285.12	161.82
439.80	141.79
70.37	75.07
194.86	284.33
234.28	235.09
148.16	168.29
278.79	264.85
239.46	228.71
334.92	429.99
195.58	194.41
395.29	411.11
327.96	305.19
82.95	50.56
130.38	133.88
299.63	368.00
89.23	68.57
191.15	125.43
145.25	151.88
274.94	328.86
263.91	274.14
27.08	33.11
82.40	107.95
211.11	78.00
176.64	197.62
182.25	214.40
311.67	364.83
254.58	250.05
109.38	121.83
242.86	319.00
78.89	56.50
149.57	177.05
121.47	116.34
356.94	412.92
230.28	196.45
213.29	229.01
910.01	475.77
348.47	307.12
132.07	142.11
380.21	379.27
119.72	130.13
115.21	58.99
544.73	106.56
49.19	54.19
252.18	264.50
447.10	291.50
51.75	52.41
432.32	558.20
608.56	1022.60
30.00	25.34
242.45	148.72
447643.91	615418.12
257.18	294.82
127.60	165.04
188.29	202.67
789.47	933.82
3220.15	3239.08
142.89	146.14
82.92	69.75
252.25	301.41
237.74	218.43
73.12	86.26
2154.76	1697.97
87.43	105.25
129.46	122.80
207.86	269.93
214.06	247.86
50.22	46.76
815.64	1157.00
1807.06	2007.08
259.56	232.50
127.10	121.17
218.47	272.52
242.64	280.75
83.83	50.15
185.31	207.50
315.02	268.02
241.29	279.25
154.07	180.29
172.82	314.00
362.89	476.80
93.43	69.00
1496.94	232.95
210.19	129.88
1002.21	1106.06
228.61	124.33
124.91	114.62
683.50	812.40
352.71	488.25
87.56	75.50
387.33	462.82
352.22	304.00
2030.67	736.46
453.69	546.20
3155.40	4802.75
177.14	143.50
124.09	79.97
94.00	96.20
176.64	165.36
338.33	326.23
135.25	130.12
178.78	218.83
265.87	325.88
418.65	408.67
154.70	109.33
247.96	262.43
227.17	244.21
309.89	337.00
198.85	187.18
151.69	174.74
65.85	56.58
577.31	643.25
149.59	182.00
419.52	381.90
652.18	570.67
230.06	204.59
171.16	122.00
235.46	317.44
98.15	96.19
65.07	60.47
284.18	160.17
267.67	306.44
620.74	490.16
228.98	168.83
127.45	127.79
77.40	132.33
2400.90	1553.90
168.73	176.38
640.57	612.00
685.05	1094.40
385.61	507.25
111.83	131.33
209.89	166.95
128.26	153.75
212.85	145.33
234.54	329.80
277.99	424.05
347.49	418.36
487.83	135.00
482.82	654.43
181.73	288.67
319.50	412.20
65.36	85.78
71.41	63.76
523.98	543.12
403.07	438.47
238.00	247.75
486.87	445.99
188.72	137.46
202.62	239.20
141.37	121.92
74.82	71.22
154.64	188.00
124.68	141.13
340.62	373.08
318.73	368.00
206.06	188.87
132.69	144.12
33.17	42.23
183.59	219.08
105.56	133.75
421.00	439.08
254.88	227.33
404.62	498.92
123.51	121.93
343.11	330.67
218.64	290.40
249.31	192.00
131.94	124.33
271.19	165.78
323.09	100.00
97.55	92.83
164.50	209.89
467.63	513.75
221.19	219.68
218.90	217.86
92.46	93.46
244.08	286.50
4297.59	4453.51
1114.78	440.32
299.44	362.00
439.14	446.81
166.89	166.33
315.17	263.29
50.56	54.98
438.53	227.50
167.17	173.93
163.04	168.44
219.77	99.15
773.52	801.28
440.48	255.58
269.02	325.05
147.19	161.56
215.67	213.83
245.04	242.81
128.13	71.09
3268.32	1281.36
160.44	166.97
265.81	222.53
226.93	198.50
279.30	500.20
148.84	120.63
85.88	103.40
129.11	134.67
353.85	423.43
160.13	135.00
42.11	46.18
21.66	12.39
692.64	413.67
42.21	35.22
340.11	283.42
186.26	193.88
15199.67	22703.50
232.80	212.17
225.31	201.22
214.46	202.54
280.75	278.57
803.60	1125.61
283.07	372.50
127.21	111.50
357.69	373.20
104.58	150.28
615.21	753.59
241.00	197.33
92.12	90.69
443.33	451.96
99.96	106.64
2366.86	3014.71
243.01	252.71
149.93	171.05
197.21	150.86
771.60	1084.61
311.62	361.59
721.64	800.62
57.29	67.28
227.23	251.56
293.21	407.81
13.28	12.11
316.68	102.96
104.40	104.50
437.98	228.90
262.12	289.51
615.33	791.33
112.89	108.33
118.86	136.25
214.07	275.25
146.14	59.63
188.95	233.33
249.00	167.40
131.59	102.25
95.18	87.28
170.52	199.67
842.92	524.00
208.45	222.94
298.29	262.75
168.69	282.00
374.38	458.56
123.24	132.75
132.29	144.15
317.98	691.93
961.59	1396.88
465.63	223.84
555.37	655.07
40.13	30.92
64.51	70.98
86.68	82.59
354.43	406.35
110.17	143.33
84.20	61.47
237.87	159.99
186.86	200.22
87.67	52.20
94.72	89.25
537.38	420.80
229.41	226.75
295.27	214.29
166.52	168.07
231.59	219.29
307.75	386.36
299.77	287.33
320.12	142.00
164.62	185.64
535.25	697.00
269.06	270.14
79.71	92.74
336.45	368.54
269.67	278.08
143.83	169.63
1624.24	2184.33
214.00	290.50
200.57	150.97
125.69	132.43
180.27	162.66
118.17	101.81
207.12	256.51
402.67	416.40
511.22	558.99
1762.32	2244.21
214.54	166.09
356.35	382.66
147.93	163.99
257.82	323.64
455.00	216.57
142.57	76.00
237.91	267.65
168.80	157.35
182.87	198.35
142.53	83.91
180.83	153.67
197.52	207.89
301.58	236.00
91.71	98.10
289.94	348.92
277.79	305.94
372.55	230.67
621.96	646.40
179.68	282.00
276.75	378.67
65.51	68.94
620.40	702.00
121.99	97.61
166.50	155.83
685.67	646.00
401.92	331.47
606.16	647.55
130.03	113.45
350.19	366.19
162.91	213.33
308.56	321.67
128.59	128.48
128.26	165.28
141.10	154.90
289.73	314.86
237.48	255.61
116.83	151.67
84.97	94.69
794.71	1126.25
484.71	727.00
1150.65	1128.46
390.54	372.74
75.54	92.83
1976.07	2266.91
261.57	226.75
107.38	58.18
210.22	239.50
282.56	286.87
290.14	188.67
220.21	223.00
249.86	133.00
203.12	231.55
274.40	292.50
71.17	56.33
76.06	59.69
48.64	35.12
203.03	180.20
1137.59	936.54
262.46	307.92
140.05	117.75
485.25	417.20
196.87	186.60
356.81	278.25
116.49	103.86
1279.00	792.50
631.91	622.90
223.87	231.79
701.20	913.90
192.31	192.58
305.91	282.29
229.97	261.11
112.25	106.71
395.68	385.75
341.07	434.80
246.94	240.40
300.21	237.06
177.97	214.79
292.42	282.67
83.50	99.38
257.57	268.62
108.84	116.97
104.42	97.66
102.49	106.85
208.02	244.33
313.82	336.58
309.87	376.10
144.62	173.31
184.20	158.75
221.44	222.07
81.70	88.31
1913.80	2307.01
263.57	296.68
62.89	58.66
159.80	167.76
33.48	28.81
250.42	214.39
631.79	646.46
613.65	671.77
222.82	214.75
196.65	205.20
68.59	56.95
90.55	176.50
335.00	544.00
167.27	123.21
269.02	319.32
317.94	264.99
271.77	334.86
256.62	240.18
588.08	1001.40
391.30	494.75
95.11	102.75
193.58	127.69
310.70	306.20
158.32	207.40
330.91	384.38
247.59	273.00
248.42	264.90
173.06	165.38
463.25	551.30
290.91	389.45
120.00	134.33
37.39	46.29
153.04	166.82
375.70	366.00
391.70	375.42
320.25	405.02
206.84	217.40
239.86	278.50
537.06	547.97
290.75	316.20
342.78	500.33
327.88	343.91
156.56	149.00
87.41	98.22
651.22	802.17
144.89	156.85
432.36	596.71
125.75	109.00
152.62	128.93
438.55	356.10
201.18	25.19
655.73	741.57
93.09	103.24
62.50	57.94
269.81	275.61
287.54	263.78
368.71	362.84
117.37	134.90
319.50	321.41
499.83	188.33
384.41	379.53
166.58	184.18
198.33	168.09
386.81	416.04
332.65	316.38
71.11	79.42
339.15	335.71
292.91	269.90
137.10	164.97
131.00	161.00
506.78	435.17
931.99	176.00
127.84	168.78
225.15	120.08
199.73	240.00
497.50	381.14
360.56	701.30
97.81	123.85
179.07	172.70
557.00	298.00
67.64	61.24
187.73	225.42
338.74	367.19
178.27	174.41
215.40	208.03
191.78	168.39
107.34	123.02
147.79	145.23
1020.06	141.10
112.66	145.29
756.65	767.44
289.91	258.10
165.90	142.22
84.02	93.22
92.22	77.80
265.64	283.46
259.26	136.30
173.74	162.73
41.98	28.30
87.25	68.33
177.12	190.60
525.67	926.00
1586.52	745.31
169.56	180.80
63.29	58.93
576.45	854.50
2768.11	340.12
199.90	172.77
440.99	157.21
139.78	135.33
259.47	173.27
208.52	224.02
91.43	85.39
206.22	212.96
146.77	144.44
62.12	48.68
427.78	462.50
147.39	170.73
111.44	218.33
109.33	60.67
103.44	117.85
553.12	640.08
383.05	373.14
549.10	584.87
679.43	690.04
218.23	169.14
222.86	177.25
120.79	119.40
190.35	328.33
106.08	108.84
73.87	47.38
114.05	118.91
573.33	211.76
294.54	350.18
133.89	137.22
607.75	866.00
437.33	451.00
772.62	418.75
714.00	481.40
257.40	234.68
972.08	1184.67
188.86	135.00
836.24	854.53
131.41	134.54
295.17	352.67
328.60	410.50
106.98	102.97
70.66	77.83
188.02	178.34
338.00	298.57
155.11	127.60
212.25	256.60
416.32	360.12
153.17	150.20
162.83	166.51
197.56	199.73
66.17	56.32
217.50	222.00
129.73	127.85
275.29	284.67
284.27	293.88
302.43	219.38
315.38	366.86
278.89	344.50
268.80	327.43
2988.87	2818.64
244.91	343.00
431.22	492.74
348.32	443.00
222.43	238.06
205.68	226.68
77.40	126.75
144.53	136.76
1153.10	1978.20
99.07	74.62
348.06	199.29
77.35	96.85
151.68	146.68
1044.35	1537.71
33.43	36.38
62.54	41.27
578.31	688.33
182.08	192.91
128.87	76.56
87.13	100.45
171.36	211.97
226.91	240.43
176.80	154.86
740.97	901.12
261.00	261.55
408.62	468.60
262.47	303.03
643.11	715.98
160.97	137.41
385.92	252.44
478.24	604.73
254.88	295.50
294.89	358.43
216.15	316.00
535.73	630.19
208.40	232.53
342.11	464.62
2908.79	4736.27
369.25	373.89
34.54	32.88
145.44	135.50
95.67	55.33
269.12	330.25
645.52	743.17
191.12	193.67
226.67	258.67
249.60	304.43
300.83	519.00
3517.71	4770.58
157.62	98.72
61.78	50.91
289.92	255.21
394.62	506.75
435.25	442.25
363.30	228.56
372.99	451.00
81.88	59.17
66.09	102.98
221.17	80.00
409.80	439.82
83.52	34.20
289.28	285.69
64.31	31.29
23.97	24.17
145.75	159.40
368.47	502.34
125.38	112.00
106.97	115.09
142.18	252.47
309.23	345.48
463.78	278.29
164.98	188.57
282.00	328.40
598.55	527.94
277.15	234.45
655.38	1233.25
341.71	327.57
94.24	115.38
189.30	181.83
315.83	132.19
196.25	190.90
418.75	272.80
202.50	225.44
127.62	141.09
401.43	338.00
143.62	169.80
122.26	93.24
215.34	215.88
133.68	135.93
763.75	588.78
136.25	80.50
355.41	191.90
271.60	259.63
91.67	82.97
405.71	450.11
184.83	153.54
374.57	219.00
475.56	508.17
58.67	71.40
1115.12	1955.62
49.91	14.61
157.62	232.00
128.57	119.00
220.49	326.32
168.85	235.40
450.14	566.75
446.86	565.50
226.37	228.85
45.29	36.89
159.67	168.17
243.22	121.25
396.57	229.22
148.99	158.99
218.00	151.94
755.17	586.09
233.76	184.99
171.11	178.56
982.62	1020.16
78.53	80.64
356.80	337.80
1065.17	1132.44
150.93	95.33
271.72	270.53
350.54	376.10
618.90	785.75
135.27	121.70
207.31	180.16
33.98	25.57
80.13	84.33
19.79	34.20
103.03	92.80
303.12	336.00
110.78	108.23
167.01	204.97
95.09	66.97
178.91	237.33
1520.71	1611.50
2904.75	3024.00
619.22	548.92
70.98	87.17
192.88	225.15
288.14	365.25
672.14	630.36
209.06	235.92
396.14	457.25
383.18	281.99
71.50	90.80
347.99	439.06
179.43	161.79
180.10	153.33
2854.29	4516.50
223.03	145.38
141.04	152.58
135.66	106.84
452.82	566.44
142.02	132.00
156.85	161.62
250.25	206.12
77.48	104.33
56.31	39.41
335.60	328.57
157.28	163.32
116.20	95.50
175.42	167.13
306.15	249.44
76.69	80.13
315.68	332.89
278.56	282.58
255.00	209.60
141.82	82.30
508.53	360.20
103.85	133.60
101.98	106.50
97.01	101.07
200.35	199.04
293.30	213.29
140.49	164.77
101.02	101.82
207.24	134.98
879.67	396.00
58.58	64.87
1732.27	2260.59
442.92	328.04
68.55	68.41
239.91	233.50
243.79	139.76
189.64	238.86
149.35	109.52
122.10	139.64
102.82	80.94
99.39	74.93
137.40	141.27
244.94	220.67
150.76	135.38
123.43	119.00
170.94	65.42
214.39	257.69
218.33	196.33
554.30	194.67
151.29	141.75
134.00	128.00
144.25	145.88
211.19	197.14
258.40	263.38
92.86	69.78
153.82	159.54
292.43	282.11
52.42	43.80
194.99	190.75
93.60	93.42
333.85	264.74
135.71	147.78
76.14	75.62
345.41	169.84
104.75	97.20
192.66	153.35
48.67	50.91
492.13	492.28
145.56	134.42
376.00	479.80
53.63	60.30
751.20	399.25
480.08	247.12
174.28	182.66
73.70	75.36
224.69	281.54
804.46	944.57
146.57	131.12
202.53	176.62
1592.57	1606.81
263.33	285.22
506.38	503.71
129.39	160.45
395.11	357.97
72.08	110.00
95.00	116.60
156.75	174.75
107.60	102.20
109.48	110.18
192.84	182.05
239.91	211.67
148.19	142.12
247.69	385.50
167.82	185.92
449.99	447.38
720.15	634.29
135.26	135.20
163.00	132.33
140.36	103.78
191.38	171.40
336.29	364.89
312.41	297.30
492.83	577.67
222.42	205.86
295.45	316.81
81.45	22.97
51.54	27.95
239.60	265.25
437.33	428.22
138.35	168.37
800.20	973.46
287.42	273.00
78.62	87.96
257.17	199.65
76.11	95.46
228.08	265.17
134.77	148.90
163.71	156.33
142.61	145.17
203.17	168.33
209.42	107.01
73.18	80.72
765.71	1530.00
981.78	2645.33
829.09	314.33
2913.11	5026.50
1347.31	1141.39
649.88	285.67
146.79	164.51
262.31	255.05
393.49	416.27
125.53	127.44
127.67	180.17
222.93	295.22
375.50	455.00
188.16	158.78
184.60	179.22
173.18	155.17
214.33	164.00
20.00	26.15
506.59	629.40
1093.64	441.94
511.54	424.94
7.74	8.62
297.73	326.15
197.55	184.24
187.26	194.18
242.28	235.40
108.63	130.10
227.00	241.50
168.22	101.73
261.79	213.73
389.11	378.52
424.20	460.50
299.67	288.09
325.73	297.50
110.91	103.33
210.00	261.67
86.74	119.40
53.18	52.56
277.88	250.80
58.49	63.96
112.09	119.67
100.98	74.24
509.55	653.71
111.99	128.60
421.87	448.91
99.00	72.14
158.29	126.25
70.67	74.28
214.29	215.00
136.76	141.26
117.82	116.65
172.41	178.29
175.06	151.99
110.25	104.62
107.14	128.67
351.44	426.20
73.36	65.38
202.97	184.00
356.89	320.40
62.24	31.04
439.25	489.94
163.88	176.80
347.49	227.73
133.32	108.63
199.78	177.06
287.69	276.80
135.30	139.18
327.00	192.92
134.77	129.00
338.61	357.27
384.55	390.00
282.65	366.25
186.95	169.43
267.50	253.67
47.96	32.05
1272.29	330.67
188.27	156.02
574.07	606.64
227.71	264.25
214.75	198.52
23.78	49.93
230.85	285.94
428.67	448.67
36.67	32.62
319.18	323.50
486.23	634.69
235.49	229.52
34.78	9.20
193.90	259.83
69.01	76.02
272.35	258.40
444.90	559.23
78.62	80.19
95.48	97.66
142.60	155.50
398.00	362.70
13.78	11.17
207.19	183.49
96.17	114.00
176.78	155.33
428.18	606.54
52.97	62.11
67.16	53.42
278.16	250.20
633.27	737.52
192.50	173.94
151.23	155.88
90.93	97.23
287.33	363.33
238.26	247.33
189.82	151.80
233.87	226.25
821.83	867.78
744.25	514.50
169.03	170.37
1526.10	2662.80
196.13	93.50
172.50	156.75
238.46	239.60
167.32	185.26
193.37	213.65
269.03	327.88
43.19	44.76
189.77	191.20
303.12	197.00
287.88	241.60
71.80	39.10
113.22	120.73
446.00	573.20
117.41	89.71
3639.75	3411.13
5739.54	5250.54
299.15	323.56
215.46	227.04
3343.45	4081.92
273.18	165.75
332.71	173.00
366.82	128.30
317.60	287.43
1005.80	487.25
670.00	516.75
356.33	366.18
187.56	204.30
493.42	564.89
3542.92	2641.86
42.27	43.49
210.85	203.89
242.98	249.39
549.71	733.00
271.11	288.33
1051.20	284.10
334.82	330.14
421.12	301.75
302.70	323.80
213.14	355.33
91.20	129.65
521.69	461.92
222.95	217.91
297.50	369.93
270.97	363.07
216.22	248.60
179.50	234.40
182.14	184.67
211.00	110.00
123.83	83.00
185.61	164.38
635.51	202.41
154.50	157.33
751.00	1208.25
